Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
New Caledonia,NCL,Fixed broadband subscriptions,IT.NET.BBND,55400,,,,55000,55000,55000,55600,,
Niger,NER,Fixed broadband subscriptions,IT.NET.BBND,27200,7710,8650,,11000,12000,12000,13700,,
Nigeria,NGA,Fixed broadband subscriptions,IT.NET.BBND,15700,108000,111000,74000,83400,65300,65900,96800,117000,
Nicaragua,NIC,Fixed broadband subscriptions,IT.NET.BBND,116000,177000,210000,192000,218000,290000,300000,337000,371000,
Netherlands,NLD,Fixed broadband subscriptions,IT.NET.BBND,7030000,7220000,7290000,7410000,7460000,7530000,7610000,7800000,7830000,
Norway,NOR,Fixed broadband subscriptions,IT.NET.BBND,2050000,2110000,2170000,2210000,2260000,2390000,2430000,2490000,,
Nepal,NPL,Fixed broadband subscriptions,IT.NET.BBND,303000,224000,503000,792000,1030000,1270000,1270000,1440000,,
Nauru,NRU,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,1180,,
New Zealand,NZL,Fixed broadband subscriptions,IT.NET.BBND,1450000,1530000,1580000,1650000,1700000,1760000,1800000,1860000,1930000,
OECD members,OED,Fixed broadband subscriptions,IT.NET.BBND,380122100,394560081,408708530,421502631,434366770,456648099,471516483,481180149,,
Oman,OMN,Fixed broadband subscriptions,IT.NET.BBND,233000,285000,349000,422000,473000,509000,525000,537000,562000,
Other small states,OSS,Fixed broadband subscriptions,IT.NET.BBND,1662601,1710570,1799097,1849097,1970415,2065902,2179591,2279111,,
Pakistan,PAK,Fixed broadband subscriptions,IT.NET.BBND,1790000,2490000,2320000,2160000,2030000,2440000,2950000,3130000,3360000,
Panama,PAN,Fixed broadband subscriptions,IT.NET.BBND,316000,430000,441000,540000,536000,594000,645000,721000,809000,
Peru,PER,Fixed broadband subscriptions,IT.NET.BBND,2000000,2120000,2310000,2580000,2400000,2760000,3000000,3160000,3530000,
Philippines,PHL,Fixed broadband subscriptions,IT.NET.BBND,2900000,2990000,3400000,3790000,6310000,7940000,9620000,8740000,7510000,
Palau,PLW,Fixed broadband subscriptions,IT.NET.BBND,1220,,,,,,,1240,1300,
Papua New Guinea,PNG,Fixed broadband subscriptions,IT.NET.BBND,15000,17000,18000,,20000,21000,21000,21900,,
Poland,POL,Fixed broadband subscriptions,IT.NET.BBND,7270000,7330000,7630000,7850000,7840000,8370000,8680000,9150000,10100000,
Pre-demographic dividend,PRE,Fixed broadband subscriptions,IT.NET.BBND,1160205,1730105,6616717,7059361,7719317,10253395,10529866,10744637,,
Puerto Rico,PRI,Fixed broadband subscriptions,IT.NET.BBND,704000,687000,660000,609000,610000,670000,769000,722000,751000,
"Korea, Dem. People's Rep.",PRK,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,
Portugal,PRT,Fixed broadband subscriptions,IT.NET.BBND,3140000,3380000,3570000,3780000,3970000,4160000,4310000,4470000,4600000,
Paraguay,PRY,Fixed broadband subscriptions,IT.NET.BBND,215000,247000,290000,321000,412000,562000,723000,738000,878000,
West Bank and Gaza,PSE,Fixed broadband subscriptions,IT.NET.BBND,275000,321000,360000,364000,365000,377000,415000,421000,431000,
Pacific island small states,PSS,Fixed broadband subscriptions,IT.NET.BBND,29061,28255,23330,24883,41887,40724,42473,,,
Post-demographic dividend,PST,Fixed broadband subscriptions,IT.NET.BBND,349397579,361610072,372405782,381778901,393951489,409730473,419408052,427309962,,
French Polynesia,PYF,Fixed broadband subscriptions,IT.NET.BBND,51900,55400,57700,59800,62000,64000,74800,78300,,
Qatar,QAT,Fixed broadband subscriptions,IT.NET.BBND,238000,254000,257000,268000,285000,296000,312000,366000,347000,
Romania,ROU,Fixed broadband subscriptions,IT.NET.BBND,4260000,4450000,4750000,5090000,5280000,5680000,6100000,6370000,6630000,
Russian Federation,RUS,Fixed broadband subscriptions,IT.NET.BBND,26900000,27500000,31100000,32100000,32900000,33900000,34600000,35900000,,
Rwanda,RWA,Fixed broadband subscriptions,IT.NET.BBND,21100,21700,21800,7500,8890,17700,31900,47800,62200,
South Asia,SAS,Fixed broadband subscriptions,IT.NET.BBND,24600000,28900000,29300000,30800000,32100000,38600000,45400000,52600000,59100000,
Saudi Arabia,SAU,Fixed broadband subscriptions,IT.NET.BBND,6340000,6400000,6650000,6820000,6800000,7890000,10600000,13500000,14500000,
Sudan,SDN,Fixed broadband subscriptions,IT.NET.BBND,28100,26400,30500,31400,32800,28800,30400,29800,,
Senegal,SEN,Fixed broadband subscriptions,IT.NET.BBND,101000,98400,112000,130000,152000,177000,208000,248000,357000,
Singapore,SGP,Fixed broadband subscriptions,IT.NET.BBND,1490000,1590000,1480000,1490000,1500000,1510000,1530000,1560000,1570000,
Solomon Islands,SLB,Fixed broadband subscriptions,IT.NET.BBND,1420,1640,1170,1490,1050,1000,1000,836,,
Sierra Leone,SLE,Fixed broadband subscriptions,IT.NET.BBND,,,,,172,180,184,,,
El Salvador,SLV,Fixed broadband subscriptions,IT.NET.BBND,353000,395000,451000,492000,525000,586000,613000,671000,,
San Marino,SMR,Fixed broadband subscriptions,IT.NET.BBND,11600,12000,10500,10900,11100,11000,12000,12200,,
Somalia,SOM,Fixed broadband subscriptions,IT.NET.BBND,82000,92000,98000,,98000,119000,119000,119000,,
Serbia,SRB,Fixed broadband subscriptions,IT.NET.BBND,1320000,1450000,1480000,1550000,1620000,1730000,1800000,1950000,2080000,
