Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Honduras,HND,Fixed broadband subscriptions,IT.NET.BBND,197000.0,220000.0,238000.0,355000.0,390000.0,397000.0,421000.0,461000.0,476000.0
Heavily indebted poor countries (HIPC),HPC,Fixed broadband subscriptions,IT.NET.BBND,1974106.0,2812846.0,2889526.0,3162916.0,4162376.0,5192103.0,5783135.0,4957870.0,1980000.0
Croatia,HRV,Fixed broadband subscriptions,IT.NET.BBND,986000.0,1040000.0,1100000.0,1130000.0,1150000.0,1030000.0,1050000.0,1080000.0,1110000.0
Haiti,HTI,Fixed broadband subscriptions,IT.NET.BBND,1350.0,1350.0,29900.0,31100.0,31100.0,31000.0,31000.0,35300.0,1980000.0
Hungary,HUN,Fixed broadband subscriptions,IT.NET.BBND,2720000.0,2810000.0,2960000.0,3080000.0,3190000.0,3270000.0,3380000.0,3540000.0,3560000.0
IBRD only,IBD,Fixed broadband subscriptions,IT.NET.BBND,467200000.0,527100000.0,621000000.0,652900000.0,712000000.0,777400000.0,859400000.0,935800000.0,1000700000.0
IDA & IBRD total,IBT,Fixed broadband subscriptions,IT.NET.BBND,480500000.0,545000000.0,641300000.0,675800000.0,735700000.0,807100000.0,894400000.0,975100000.0,1043900000.0
IDA total,IDA,Fixed broadband subscriptions,IT.NET.BBND,13200000.0,17900000.0,20400000.0,22900000.0,23700000.0,29700000.0,35000000.0,39300000.0,43200000.0
IDA blend,IDB,Fixed broadband subscriptions,IT.NET.BBND,4100000.0,6200000.0,6800000.0,7500000.0,6900000.0,9700000.0,12400000.0,14400000.0,16800000.0
Indonesia,IDN,Fixed broadband subscriptions,IT.NET.BBND,3980000.0,5230000.0,6220000.0,8870000.0,10300000.0,10800000.0,12400000.0,13400000.0,13500000.0
IDA only,IDX,Fixed broadband subscriptions,IT.NET.BBND,9200000.0,11700000.0,13600000.0,15400000.0,16800000.0,20000000.0,22600000.0,24900000.0,26400000.0
Isle of Man,IMN,Fixed broadband subscriptions,IT.NET.BBND,427500.0,558000.0,602000.0,919000.0,610000.0,719000.0,762000.0,800000.0,1980000.0
India,IND,Fixed broadband subscriptions,IT.NET.BBND,16900000.0,18700000.0,17900000.0,18200000.0,19200000.0,23000000.0,27600000.0,33500000.0,39300000.0
Not classified,INX,Fixed broadband subscriptions,IT.NET.BBND,427500.0,558000.0,602000.0,919000.0,610000.0,719000.0,762000.0,800000.0,1980000.0
Ireland,IRL,Fixed broadband subscriptions,IT.NET.BBND,1310000.0,1360000.0,1400000.0,1430000.0,1460000.0,1520000.0,1580000.0,1610000.0,1650000.0
