Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,12285.30326,12821.17381,13902.63105,15460.41833,15563.81674,14808.46202,17789.93047,18466.09555,21865.45628
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,1411.126847,1318.402682,1395.239452,1496.38049,1352.172042,1290.325387,1835.443941,1760.626357,1705.779055
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,12717.0386,13104.69955,14621.2396,16425.20503,16786.21364,16131.95404,18755.10235,18353.29836,22141.86698
IBRD only,IBD,GDP per capita (current US$),NY.GDP.PCAP.CD,5525.004907,5513.077153,6032.457316,6376.206376,6459.056497,6171.879657,7289.992048,7651.517025,7832.149756
IDA & IBRD total,IBT,GDP per capita (current US$),NY.GDP.PCAP.CD,4458.110831,4431.3044,4816.556697,5071.477806,5125.361189,4884.262425,5707.610643,5974.316584,6075.122993
IDA total,IDA,GDP per capita (current US$),NY.GDP.PCAP.CD,1346.696932,1313.252079,1354.977107,1405.597172,1430.29037,1370.262578,1460.266755,1545.893118,1510.984397
IDA blend,IDB,GDP per capita (current US$),NY.GDP.PCAP.CD,1953.901452,1787.0344,1796.872873,1856.818763,1865.356055,1713.864579,1827.963106,1944.228147,1687.281337
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,3288.222697,3521.469435,3798.883262,3860.953531,4106.948562,3853.702888,4287.17314,4730.745489,4876.314327
IDA only,IDX,GDP per capita (current US$),NY.GDP.PCAP.CD,1036.870897,1072.25259,1130.918143,1177.527642,1211.19959,1197.826556,1276.232716,1347.049598,1424.845979
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,84753.51874,82025.94545,83481.30385,89393.82442,87127.5518,79513.53303,94299.96935,7606.237525,7820.232404
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,1583.998159,1707.508929,1950.104683,1966.254552,2041.428637,1907.042516,2239.613844,2352.613925,2480.792087
Not classified,INX,GDP per capita (current US$),NY.GDP.PCAP.CD,6154.495935,5968.538696,6446.312069,6865.5731075,6804.149231,6247.5969245,7054.6358055,7606.237525,7820.232404
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,64311.82347,64292.65997,72499.32687,81248.31354,82508.46599,87567.1149,105561.1375,106194.7559,103887.8004
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,4952.733555,5477.037124,5753.115447,4631.78709,3831.278948,2988.781224,4334.792686,4405.092915,4465.63767
