Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Marshall Islands,MHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,19.3,29.8,38.7,43.9,49.8,56.4,64.0,64.8,65.7
Middle income,MIC,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
North Macedonia,MKD,Individuals using the Internet (% of population),IT.NET.USER.ZS,70.4,72.2,74.5,79.2,81.4,81.4,81.9,85.0,87.2
Mali,MLI,Individuals using the Internet (% of population),IT.NET.USER.ZS,10.3,14.0,18.9,21.4,25.0,29.1,34.0,34.4,35.1
Malta,MLT,Individuals using the Internet (% of population),IT.NET.USER.ZS,76.0,78.1,81.0,81.7,85.8,86.9,87.5,91.5,92.1
Myanmar,MMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,10.9,16.0,23.6,29.4,36.5,45.4,56.5,58.0,58.5
Middle East & North Africa (excluding high income),MNA,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Montenegro,MNE,Individuals using the Internet (% of population),IT.NET.USER.ZS,68.1,69.9,71.3,71.5,73.5,77.6,82.2,88.2,89.8
Mongolia,MNG,Individuals using the Internet (% of population),IT.NET.USER.ZS,22.5,22.3,23.7,47.1,51.1,62.5,81.6,82.2,83.0
Northern Mariana Islands,MNP,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Mozambique,MOZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.5,7.0,7.8,10.9,12.5,14.3,16.4,18.8,19.8
Mauritania,MRT,Individuals using the Internet (% of population),IT.NET.USER.ZS,17.6,19.2,21.0,23.0,25.1,27.4,30.0,34.3,37.4
Mauritius,MUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,50.1,52.2,55.4,58.6,61.7,67.7,71.6,75.5,79.5
Malawi,MWI,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.0,6.3,7.0,8.8,11.1,13.9,17.5,17.0,18.0
Malaysia,MYS,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.1,78.8,80.1,81.2,84.2,89.6,96.8,97.4,97.7
North America,NAC,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Namibia,NAM,Individuals using the Internet (% of population),IT.NET.USER.ZS,25.7,31.0,36.8,42.8,49.8,57.9,60.3,61.1,64.4
New Caledonia,NCL,Individuals using the Internet (% of population),IT.NET.USER.ZS,74.0,77.3,82.0,84.03,87.03,89.87,90.97,93.4,93.97
Niger,NER,Individuals using the Internet (% of population),IT.NET.USER.ZS,2.48,4.32,10.2,13.17,16.6,17.0,17.5,23.3,23.2
