Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Least developed countries: UN classification,LDC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Low income,LIC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Liechtenstein,LIE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,5.87,0.92,1.04,1.0,0.999535024,0.999535024
Sri Lanka,LKA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.1,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.105060004,0.105060004
Lower middle income,LMC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.55,0.56,0.57,0.56,0.55,0.92,1.04,1.0,0.999535024,0.999535024
Low & middle income,LMY,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.37,1.41,1.36,1.45,1.48,1.67,1.93,1.0,0.999535024,0.999535024
Lesotho,LSO,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.05,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Late-demographic dividend,LTE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.61,1.68,1.67,1.69,1.8,1.95,2.05,2.16,2.156542518,2.156542518
Lithuania,LTU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.04,0.84,0.9,0.94,0.99,1.13,1.1,1.05,1.053189993,1.053189993
Luxembourg,LUX,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.25,1.27,1.24,1.17,1.18,1.1,1.04,0.98,0.976530015,0.976530015
Latvia,LVA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.62,0.44,0.51,0.64,0.64,0.73,0.75,0.76,0.763819993,0.763819993
"Macao SAR, China",MAC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.14,0.23,0.17,0.2,0.25,0.45,0.37,0.44,0.436879992,0.436879992
St. Martin (French part),MAF,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
