"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Egypt, Arab Rep.","EGY","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50900","54900","79200","141000","259000","477000","770000","1080000","1450000","1850000","2290000","2680000","3070000","3830000","4470000","5230000","6620000","7570000","9340000","10800000","12000000","13600000","",
"Euro area","EMU","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1309768","5079735","10106274","17597241","29852936","43343854","57679464","71209387","80364054","88022316","94096733","98601127","102135297","105916629","110172936","114419012","118710944","123156916","126665017","129827746","133712574","137133402","140546555","","",
"Eritrea","ERI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","70","118","141","185","146","200","500","600","1000","","3000","5000","5000","5640","","",
"Spain","ESP","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76400","467000","1250000","2120000","3400000","5040000","6740000","8060000","9140000","9800000","10700000","11200000","11500000","12300000","13000000","13500000","14100000","14700000","15200000","15600000","16200000","16700000","17100000","18200000","",
"Estonia","EST","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17500","46500","90300","139000","179000","247000","265000","295000","314000","348000","349000","350000","361000","371000","390000","414000","428000","441000","449000","456000","498000","514000","516000","",
"Ethiopia","ETH","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","35","61","261","1040","1500","3500","4110","6350","8540","238000","471000","478000","559000","63000","","159000","212000","488000","566000","","",
"European Union","EUU","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1631668","5960319","11661813","20101399","33914418","50058179","68601295","85599736","96626366","106409586","113613097","120106101","124201793","129032849","134102590","139127853","144211616","149810842","154290371","158462238","163762167","168367743","172887839","","",
"Fragile and conflict affected situations","FCS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512129","","1920572","3075205","3859754","5424400","6020521","7086364","8142418","9475717","10000000","11100000","15800000","16200000","18700000","22200000","22500000","22700000","25500000","",
"Finland","FIN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35000","134000","274000","491000","800000","1170000","1430000","1620000","1620000","1570000","1560000","1610000","1650000","1720000","1760000","1730000","1710000","1710000","1740000","1800000","1850000","1860000","1910000","1980000","",
"Fiji","FJI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7000","8500","11500","13000","12800","23300","23300","13500","10900","12400","12700","12300","12100","19100","21500","23100","23100","23300","","",
"France","FRA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13500","55000","197000","602000","1660000","3570000","6560000","9470000","12700000","15800000","17800000","19900000","21300000","22700000","24000000","24900000","26000000","26900000","27700000","28500000","29100000","29800000","30600000","31500000","32000000","32299999.9999999","",
"Faroe Islands","FRO","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","114","394","3130","5870","13100","14500","14900","15900","16200","16100","16300","16700","17400","17800","18000","18000","18200","18200","18400","18400","18700","","",
"Micronesia, Fed. Sts.","FSM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","26","46","95","116","","","998","","","2060","3090","3280","3170","3780","","5000","6000","6000","6520","","",
"Gabon","GAB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","170","650","1530","1760","1980","2200","3700","4080","4500","5000","8900","10800","11100","15000","14700","21100","24400","44600","63000","80300","","",
"United Kingdom","GBR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52900","331000","1360000","3110000","6120000","9900000","13000000","15600000","17300000","17900000","19200000","20600000","21700000","23000000","23700000","24700000","25500000","26000000","26600000","26900000","27300000","27800000","28100000","28200000","",
"Georgia","GEO","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","430","920","1410","1900","2390","27000","46700","112000","150000","182000","249000","463000","517000","601000","636000","681000","776000","857000","937000","968000","1010000","1080000","1100000","",
"Ghana","GHA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","1900","12700","16200","23000","28400","52100","65099.9999999999","68100","68800","70200","73100","86600","56800","61300","58500","78400","115000","207000","223000","",
"Gibraltar","GIB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9300","10400","11300","12000","","13000","15600","16400","17400","19000","19500","21000","22100","22900","","",
"Guinea","GIN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","600","700","800","900","1000","1100","1130","1210","1250","1000","1000","882","","",
